family,genus,PI_name,pair_key,measure,maternal_species,paternal_species,intra_maternal,inter_cross,success_ratio_inter_over_intra,directional_RI,maternal_ovules,paternal_ovules,signed_log10_ovule_ratio_maternal_minus_paternal,maternal_confidence,paternal_confidence,maternal_life_history,paternal_life_history,maternal_mating_system,paternal_mating_system,K2P_Distance,is_PI_from_PI_name,direction_complete_no_K2P,direction_complete_with_K2P
Phrymaceae,Erythranthe,Erythranthe01,erythranthe caespitosa || erythranthe minor,seed number per fruit,Erythranthe caespitosa,Erythranthe minor,0.95,0.96,1.0105263157894737,-0.010526315789473717,230.0,500.0,-0.3372421683184257,3.0,3.0,perennial,perennial,outcrossing,mixed-mating,,True,True,False
Phrymaceae,Erythranthe,Erythranthe01,erythranthe caespitosa || erythranthe minor,seed number per fruit,Erythranthe minor,Erythranthe caespitosa,0.92,0.84,0.9130434782608695,0.08695652173913049,500.0,230.0,0.3372421683184257,3.0,3.0,perennial,perennial,mixed-mating,outcrossing,,True,True,False
Phrymaceae,Erythranthe,,erythranthe caespitosa || erythranthe tilingii,seed number per fruit,Erythranthe caespitosa,Erythranthe tilingii,0.95,0.2,0.2105263157894737,0.7894736842105263,230.0,397.0,-0.23706267074552212,3.0,1.0,perennial,perennial,outcrossing,outcrossing,,False,True,False
Phrymaceae,Erythranthe,,erythranthe caespitosa || erythranthe tilingii,seed number per fruit,Erythranthe tilingii,Erythranthe caespitosa,0.91,0.91,1.0,0.0,397.0,230.0,0.23706267074552212,1.0,3.0,perennial,perennial,outcrossing,outcrossing,,False,True,False
Phrymaceae,Erythranthe,Erythranthe02,erythranthe decora || erythranthe guttata,seed set,Erythranthe decora,Erythranthe guttata,181.8,153.0,0.8415841584158416,0.15841584158415845,725.0,920.0,-0.10344982077456155,3.0,1.0,perennial,perennial,mixed-mating,selfing,,True,True,False
Phrymaceae,Erythranthe,Erythranthe02,erythranthe decora || erythranthe guttata,seed set,Erythranthe guttata,Erythranthe decora,211.0,139.4,0.6606635071090048,0.3393364928909952,920.0,725.0,0.10344982077456155,1.0,3.0,perennial,perennial,selfing,mixed-mating,,True,True,False
Phrymaceae,Erythranthe,,erythranthe guttata || erythranthe nudata,seed set,Erythranthe guttata,Erythranthe nudata,84.0,0.0,0.0,1.0,920.0,166.0,0.7436797393055001,1.0,1.0,perennial,annual,selfing,outcrossing,,False,True,False
Phrymaceae,Erythranthe,,erythranthe guttata || erythranthe nudata,seed set,Erythranthe nudata,Erythranthe guttata,77.3,0.0,0.0,1.0,166.0,920.0,-0.7436797393055001,1.0,1.0,annual,perennial,outcrossing,selfing,,False,True,False
Phrymaceae,Erythranthe,,erythranthe guttata || erythranthe nasuta,pollen competition,Erythranthe guttata,Erythranthe nasuta,,,,,920.0,689.0,0.12556860543792947,1.0,1.0,perennial,annual,selfing,mixed-mating,,False,False,False
Phrymaceae,Erythranthe,,erythranthe guttata || erythranthe nasuta,pollen competition,Erythranthe nasuta,Erythranthe guttata,,,,,689.0,920.0,-0.12556860543792947,1.0,1.0,annual,perennial,mixed-mating,selfing,,False,False,False
Phrymaceae,Erythranthe,Erythranthe03,erythranthe cuprea || erythranthe lutea,seed number per fruit,Erythranthe lutea,Erythranthe cuprea,169.0,98.0,0.5798816568047337,0.4201183431952663,2140.32,144.0,1.1721162176299447,1.0,3.0,perennial,annual,mixed-mating,mixed-mating,0.004343,True,True,True
